create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 06:45:00,BTCUSDT,100122.5510000000000000,7747359859.8266320000000000,1.09724667,1.12869300,1.07648691,0.82336500
2026-05-25 06:50:00,BTCUSDT,100121.6740000000000000,7751244870.8600140000000000,1.09650096,1.12798800,1.07559126,1.98706300
2026-05-25 06:55:00,BTCUSDT,100139.5740000000000000,7753024276.4637270000000000,1.09517310,1.12747500,1.07375120,1.24293200
2026-05-25 07:00:00,BTCUSDT,100129.8390000000000000,7748726800.2087030000000000,1.09334310,1.12699300,1.07198948,0.49828200
2026-05-25 07:05:00,BTCUSDT,100106.2290000000000000,7753271887.5682950000000000,1.09280932,1.12671500,1.07185366,1.11216400
2026-05-25 07:10:00,BTCUSDT,100107.1470000000000000,7745755917.2832530000000000,1.09453330,1.12601900,1.07363256,0.68065100
2026-05-25 07:15:00,BTCUSDT,100094.6850000000000000,7736728591.8585000000000000,1.09160136,1.12584400,1.06905020,0.48465200
2026-05-25 07:20:00,BTCUSDT,100046.0280000000000000,7724713895.5248000000000000,1.09238297,1.12605600,1.06857059,0.52714400
2026-05-25 07:25:00,BTCUSDT,100062.1360000000000000,7726778129.4928000000000000,1.09237982,1.12578800,1.06874461,1.49607300
2026-05-25 07:30:00,BTCUSDT,100054.5080000000000000,7722060545.5196110000000000,1.09176719,1.12633300,1.06783346,1.06631900
2026-05-25 07:35:00,BTCUSDT,100094.9910000000000000,7733070565.5009490000000000,1.09412568,1.12607100,1.07101349,2.30253400
2026-05-25 07:40:00,BTCUSDT,100078.0410000000000000,7733880891.4185000000000000,1.09313199,1.12481400,1.07050244,2.64553200
2026-05-25 07:45:00,BTCUSDT,100079.0650000000000000,7735351123.6060000000000000,1.09299787,1.12429300,1.07008152,1.08633900
2026-05-25 07:50:00,BTCUSDT,100072.8320000000000000,7735860081.1136000000000000,1.09336245,1.12403100,1.07060326,1.18422600
2026-05-25 07:55:00,BTCUSDT,100059.4190000000000000,7738115180.2488000000000000,1.09292292,1.12375800,1.06985026,1.14874300
2026-05-25 08:00:00,BTCUSDT,100099.6170000000000000,7745157815.5665000000000000,1.09291937,1.12371300,1.07087361,1.88408900
2026-05-25 08:05:00,BTCUSDT,100090.1210000000000000,7741470194.0586970000000000,1.09155457,1.12203200,1.06877511,1.96029100
2026-05-25 08:10:00,BTCUSDT,100069.6920000000000000,7740020418.3396000000000000,1.09075284,1.12095000,1.06811649,1.11179400
2026-05-25 08:15:00,BTCUSDT,100117.9000000000000000,7734898443.0568720000000000,1.09034464,1.12032300,1.06744950,0.98240000
2026-05-25 08:20:00,BTCUSDT,100134.3060000000000000,7740281719.4940000000000000,1.08935946,1.11995500,1.06627366,1.52945600
2026-05-25 08:25:00,BTCUSDT,100149.9760000000000000,7739570586.0047090000000000,1.08969456,1.12020200,1.06606810,0.67543800
2026-05-25 08:30:00,BTCUSDT,100151.2800000000000000,7740346092.8337390000000000,1.08884094,1.12024900,1.06490853,0.60150900
2026-05-25 08:35:00,BTCUSDT,100177.8500000000000000,7742846204.3500000000000000,1.08843064,1.12012500,1.06517454,0.66438800
2026-05-25 08:40:00,BTCUSDT,100139.3340000000000000,7741341312.4038000000000000,1.08849663,1.11896700,1.06548792,3.05985200
2026-05-25 08:45:00,BTCUSDT,100141.5960000000000000,7742338036.3474420000000000,1.08854609,1.11869100,1.06533332,1.04323600
2026-05-25 08:50:00,BTCUSDT,100171.5260000000000000,7746564620.1580000000000000,1.08791059,1.11763700,1.06519899,1.70932600
2026-05-25 08:55:00,BTCUSDT,100081.1780000000000000,7746279514.0837680000000000,1.08816835,1.11473900,1.06576784,3.12856900
2026-05-25 09:00:00,BTCUSDT,100039.5330000000000000,7745290735.7859000000000000,1.08902435,1.11358300,1.06646358,2.36431300
2026-05-25 09:05:00,BTCUSDT,100049.7010000000000000,7743000061.3809810000000000,1.08881646,1.11408700,1.06703978,1.10665900
2026-05-25 09:10:00,BTCUSDT,100010.3870000000000000,7745665327.5394470000000000,1.08766961,1.11254100,1.06630515,3.43333300
